Received Date,AI Uploading Admin,Minhal Haider,Mustafa Kamal
5/10/2024 12:47,0,290,79
5/10/2024 12:52,0,265,0
5/10/2024 13:55,0,315,188
5/10/2024 14:26,0,421,0
5/10/2024 15:38,0,122,30
5/10/2024 16:01,0,302,0
5/6/2024 10:50,0,0,316
5/6/2024 12:53,0,664,0
5/6/2024 13:35,189,0,0
5/6/2024 14:23,0,262,486
5/7/2024 12:50,0,315,0
5/7/2024 13:51,0,0,505
5/8/2024 12:00,0,265,0
5/8/2024 12:03,0,598,0
5/8/2024 12:26,0,0,112
5/8/2024 12:37,0,144,157
5/8/2024 13:26,0,0,570
5/9/2024 12:25,0,232,83
5/9/2024 12:52,0,262,392
5/9/2024 13:03,0,253,0
5/9/2024 13:58,0,0,780
Other,0,37,293
